Date,Close,High,Low,Open,Volume,Ticker
2014-06-27,161.88766479492188,195.8800048828125,194.88999938964844,194.97999572753903,71445100,SPY
2014-06-30,161.8050079345703,196.1699981689453,195.52999877929688,195.6999969482422,70201200,SPY
2014-07-01,162.8880157470703,197.6300048828125,196.1300048828125,196.1999969482422,90470000,SPY
2014-07-02,163.0533905029297,197.47999572753903,196.9600067138672,197.0500030517578,52475000,SPY
2014-07-03,163.85525512695312,198.2899932861328,197.63999938964844,197.7899932861328,52938800,SPY
2014-07-07,163.28482055664062,197.97999572753903,197.22000122070312,197.82000732421875,61696000,SPY
2014-07-08,162.23495483398438,197.22000122070312,195.75999450683597,197.1499938964844,108143000,SPY
2014-07-09,162.96243286132812,197.3000030517578,196.30999755859372,196.72999572753903,72992000,SPY
2014-07-10,162.31761169433594,196.8600006103516,195.05999755859372,195.22000122070312,99040000,SPY
2014-07-11,162.54078674316406,196.75,195.77999877929688,196.22000122070312,64243000,SPY
2014-07-14,163.3592529296875,197.8600006103516,197.44000244140625,197.6100006103516,58658000,SPY
2014-07-15,163.0533905029297,198.1000061035156,196.3600006103516,197.72000122070312,111307000,SPY
2014-07-16,163.65687561035156,198.25999450683597,197.4199981689453,198.1100006103516,79986400,SPY
2014-07-17,161.7967987060547,198.1000061035156,195.42999267578125,197.3500061035156,145398000,SPY
2014-07-18,163.45018005371094,197.91000366210935,196.2400054931641,196.3500061035156,124330000,SPY
2014-07-21,163.14431762695312,197.5,196.42999267578125,197.08999633789065,67592000,SPY
2014-07-22,163.85525512695312,198.55999755859372,197.8699951171875,198.00999450683597,67678000,SPY
2014-07-23,164.2190399169922,198.8500061035156,198.1000061035156,198.5,65612000,SPY
2014-07-24,164.2273406982422,199.05999755859372,198.4499969482422,198.8300018310547,56888000,SPY
2014-07-25,163.45849609375,198.25999450683597,197.3300018310547,198.08999633789065,76837000,SPY
2014-07-28,163.52459716796875,198.08999633789065,196.6199951171875,197.75999450683597,69259000,SPY
2014-07-29,162.82188415527344,198.4499969482422,196.9199981689453,198.1699981689453,80466000,SPY
2014-07-30,162.84669494628906,197.91000366210935,196.16000366210935,197.6499938964844,104222000,SPY
2014-07-31,159.63075256347656,195.77999877929688,192.97000122070312,195.6100006103516,183479000,SPY
2014-08-01,159.14300537109375,193.75999450683597,191.57000732421875,192.55999755859372,189261000,SPY
2014-08-04,160.29214477539062,194.3000030517578,192.0500030517578,192.8699951171875,91340000,SPY
2014-08-05,158.73789978027344,193.6000061035156,191.30999755859372,193.1000061035156,152690000,SPY
2014-08-06,158.7875213623047,192.88999938964844,191.0800018310547,191.1100006103516,94818000,SPY
2014-08-07,157.92770385742188,193.1300048828125,190.5500030517578,192.94000244140625,135733000,SPY
2014-08-08,159.7547607421875,193.3699951171875,190.9499969482422,191.4600067138672,117014000,SPY
2014-08-11,160.21775817871094,194.66000366210935,193.7100067138672,193.97000122070312,74544000,SPY
2014-08-12,159.9945526123047,194.1499938964844,192.94000244140625,193.6100006103516,73632000,SPY
2014-08-13,161.07749938964844,195.05999755859372,193.9600067138672,194.2899932861328,69047000,SPY
2014-08-14,161.8380889892578,195.75999450683597,194.97999572753903,195.16000366210935,57371000,SPY
2014-08-15,161.8050079345703,196.6499938964844,194.30999755859372,196.47000122070312,139951000,SPY
2014-08-18,163.16085815429688,197.4499969482422,196.69000244140625,196.8000030517578,75424000,SPY
2014-08-19,164.01235961914062,198.5399932861328,197.44000244140625,197.83999633789065,59135000,SPY
2014-08-20,164.45054626464844,199.16000366210935,198.0800018310547,198.1199951171875,72763000,SPY
2014-08-21,164.9299774169922,199.75999450683597,198.92999267578125,199.08999633789065,67791000,SPY
2014-08-22,164.67373657226562,199.69000244140625,198.7400054931641,199.33999633789065,76107000,SPY
2014-08-25,165.50872802734375,200.58999633789065,199.1499938964844,200.13999938964844,63855000,SPY
2014-08-26,165.61619567871094,200.82000732421875,200.27999877929688,200.3300018310547,47298000,SPY
2014-08-27,165.55006408691406,200.57000732421875,199.94000244140625,200.42999267578125,47874000,SPY
2014-08-28,165.45909118652344,200.2700042724609,199.38999938964844,199.58999633789065,58330000,SPY
2014-08-29,165.93031311035156,200.72999572753903,199.82000732421875,200.4499969482422,65907000,SPY
2014-09-02,165.84771728515625,201.0,199.8600006103516,200.97000122070312,72426000,SPY
2014-09-03,165.75677490234375,201.41000366210935,200.22000122070312,201.3800048828125,57462000,SPY
2014-09-04,165.51698303222656,201.5800018310547,199.66000366210935,200.83999633789065,85236000,SPY
2014-09-05,166.2610321044922,201.19000244140625,199.41000366210935,200.1699981689453,102177000,SPY
2014-09-08,165.83111572265625,201.2100067138672,200.0,200.9199981689453,64146000,SPY
2014-09-09,164.78123474121094,200.5500030517578,198.91000366210935,200.41000366210935,88591000,SPY
2014-09-10,165.4012451171875,200.1999969482422,198.7700042724609,199.42999267578125,67251000,SPY
2014-09-11,165.59141540527344,200.3300018310547,199.1199951171875,199.2700042724609,66774400,SPY
2014-09-12,164.62413024902344,200.1199951171875,198.55999755859372,200.1000061035156,117409300,SPY
2014-09-15,164.5000762939453,199.32000732421875,198.3800048828125,199.16000366210935,76401000,SPY
2014-09-16,165.74021911621094,200.83999633789065,198.5,198.6100006103516,116201000,SPY
2014-09-17,165.96336364746094,201.67999267578125,199.75,200.7700042724609,151266000,SPY
2014-09-18,166.84805297851562,201.8500061035156,201.1000061035156,201.3600006103516,94990000,SPY
2014-09-19,166.69764709472656,201.8999938964844,200.2899932861328,201.5200042724609,121649000,SPY
2014-09-22,165.41030883789062,200.3800048828125,198.72999572753903,200.3500061035156,125553000,SPY
2014-09-23,164.4634246826172,199.25999450683597,197.9499969482422,198.42999267578125,111393000,SPY
2014-09-24,165.75082397460938,199.69000244140625,197.5200042724609,198.0399932861328,107276000,SPY
2014-09-25,163.07630920410156,199.0500030517578,196.2700042724609,199.0399932861328,150300000,SPY
2014-09-26,164.3720245361328,198.38999938964844,196.4199981689453,196.6999969482422,103547000,SPY
2014-09-29,164.07302856445312,197.88999938964844,196.0500030517578,196.1999969482422,95112000,SPY
2014-09-30,163.64108276367188,198.3000030517578,196.6100006103516,197.69000244140625,131302000,SPY
2014-10-01,161.42347717285156,196.7700042724609,193.91000366210935,196.6999969482422,177798000,SPY
2014-10-02,161.44839477539062,195.05999755859372,192.3500061035156,194.17999267578125,157285000,SPY
2014-10-03,163.225830078125,196.94000244140625,195.0800018310547,195.67999267578125,121569000,SPY
2014-10-06,163.03480529785156,197.6000061035156,195.5800018310547,197.33999633789065,104778000,SPY
2014-10-07,160.5181427001953,195.72000122070312,193.22000122070312,195.27999877929688,147913000,SPY
2014-10-08,163.3254852294922,196.9199981689453,192.3600006103516,193.3699951171875,186461000,SPY
2014-10-09,160.0862579345703,196.6000061035156,192.5800018310547,196.3300018310547,210705000,SPY
2014-10-10,158.25900268554688,193.6499938964844,190.4900054931641,192.69000244140625,221909000,SPY
2014-10-13,155.65921020507812,191.1499938964844,187.3000030517578,190.4600067138672,230939000,SPY
2014-10-14,155.9000701904297,189.82000732421875,187.0399932861328,188.4199981689453,215847000,SPY
2014-10-15,154.84524536132812,187.69000244140625,181.9199981689453,185.16000366210935,380715000,SPY
2014-10-16,154.71237182617188,187.5800018310547,182.88999938964844,183.05999755859372,270391000,SPY
2014-10-17,156.53964233398438,189.75,187.6199951171875,188.4199981689453,214625000,SPY
2014-10-20,158.05958557128906,190.4499969482422,188.07000732421875,188.1300048828125,130011000,SPY
2014-10-21,161.19091796875,194.1999969482422,191.47999572753903,191.67999267578125,154949000,SPY
2014-10-22,160.0447235107422,194.91000366210935,192.6100006103516,194.41000366210935,151822000,SPY
2014-10-23,161.9051971435547,196.1999969482422,194.25999450683597,194.6199951171875,154944000,SPY
2014-10-24,163.1510772705078,196.4900054931641,194.4900054931641,195.25,117927000,SPY
2014-10-27,162.92684936523438,196.4499969482422,195.02999877929688,195.72999572753903,82954000,SPY
2014-10-28,164.79562377929688,198.4199981689453,196.72999572753903,196.82000732421875,106736000,SPY
2014-10-29,164.54638671875,199.1199951171875,196.8000030517578,198.5500030517578,142557000,SPY
2014-10-30,165.6012725830078,199.9499969482422,197.3999938964844,197.5800018310547,113330000,SPY
2014-10-31,167.4950408935547,201.82000732421875,200.7700042724609,201.77999877929688,146903000,SPY
2014-11-03,167.58636474609375,202.4499969482422,201.30999755859372,201.9199981689453,93600000,SPY
2014-11-04,167.00498962402344,201.6000061035156,200.05999755859372,201.22999572753903,93343000,SPY
2014-11-05,168.05975341796875,202.58999633789065,201.4499969482422,202.5399932861328,91709000,SPY
2014-11-06,168.73257446289062,203.25999450683597,201.63999938964844,202.38999938964844,107089000,SPY
2014-11-07,168.89039611816406,203.6000061035156,202.6100006103516,203.1699981689453,89540000,SPY
2014-11-10,169.4219512939453,204.0399932861328,203.1300048828125,203.3800048828125,66319000,SPY
2014-11-11,169.5880584716797,204.30999755859372,203.6499938964844,204.05999755859372,54499400,SPY
2014-11-12,169.40533447265625,204.2400054931641,203.30999755859372,203.3500061035156,90120300,SPY
2014-11-13,169.59637451171875,204.8300018310547,203.2100067138672,204.16000366210935,85357900,SPY
2014-11-14,169.63790893554688,204.4900054931641,203.72000122070312,204.1000061035156,80417500,SPY
2014-11-17,169.7459259033203,204.5800018310547,203.6499938964844,203.8500061035156,80441000,SPY
2014-11-18,170.72596740722656,205.9199981689453,204.44000244140625,204.44000244140625,76068100,SPY
2014-11-19,170.45191955566406,205.5500030517578,204.3000030517578,205.30999755859372,82373000,SPY
